Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:   1292, rd_minus:   1362, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 1 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1384, rd_minus:   1370, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 2 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   6860, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 3 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  12176, rd_minus:  11988, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5948, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 5 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  13544, rd_minus:  13390, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 6 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  12626, rd_minus:  12800, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 7 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:  16918, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 8 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5494, rd_minus:   6092, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 9 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3992, rd_minus:   3972, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 10 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   4264, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 11 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  12416, rd_minus:  12094, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 12 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   6768, rd_minus:   6736, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 13 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4000, rd_minus:   3998, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 14 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1564, rd_minus:   1656, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 15 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1272, rd_minus:   1020, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 16 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   6276, rd_minus:   5456, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 17 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5280, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 18 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    108, rd_minus:     96, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 19 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4102, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 20 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  11466, rd_minus:  17026, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 21 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   7756, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 22 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4508, rd_minus:   4938, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 23 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  17882, rd_minus:  19830, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 24 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   9136, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 25 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    326, rd_minus:    314, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 26 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3156, rd_minus:   3324, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 27 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    196, rd_minus:    176, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 28 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    164, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 29 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1612, rd_minus:   2078, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 30 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   4384, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 31 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2152, rd_minus:   2140, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 32 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1622, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 33 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   9968, rd_minus:   7264, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 34 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4648, rd_minus:   4648, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 35 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  15938, rd_minus:  17468, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 36 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3540, rd_minus:   3540, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 37 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4446, rd_minus:   4548, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 38 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   8630, rd_minus:   9576, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 39 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4684, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 40 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   7512, rd_minus:   8100, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 41 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1360, rd_minus:   1532, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 42 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  10246, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 43 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   5354, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 44 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2092, rd_minus:   2514, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 45 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    296, rd_minus:    226, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 46 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    592, rd_minus:    714, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 47 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5272, rd_minus:   4664, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 48 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4828, rd_minus:   6118, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 49 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5434, rd_minus:   6238, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 50 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5616, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 51 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  11916, rd_minus:  11282, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 52 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4860, rd_minus:   5208, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 53 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   7696, rd_minus:  11694, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 54 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   7426, rd_minus:   9244, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 55 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    280, rd_minus:    336, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 56 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:     94, rd_minus:     94, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 57 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   7502, rd_minus:   9954, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 58 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4396, rd_minus:   3856, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 59 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5696, rd_minus:   3486, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 60 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3244, rd_minus:   3616, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 61 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    956, rd_minus:   1048, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 62 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1966, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 63 / 4120, payload_bits 4096, end_bits 24
