Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:   7904, rd_minus:   7886, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 1 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3972, rd_minus:   3850, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 2 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4492, rd_minus:   4444, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 3 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1096, rd_minus:    342, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2224, rd_minus:   2244, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 5 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4808, rd_minus:  13888, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 6 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  10328, rd_minus:   5936, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 7 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4386, rd_minus:   4642, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 8 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    964, rd_minus:    344, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 9 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    130, rd_minus:    128, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 10 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1064, rd_minus:   1372, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 11 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    120, rd_minus:    104, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 12 / 4120, payload_bits 4096, end_bits 24
