Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:   6920, rd_minus:   7136, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3030, rd_minus:   3166, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 2 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3354, rd_minus:   3362, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 3 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    206, rd_minus:    244, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 4 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1108, rd_minus:   1070, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 5 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    144, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 6 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:     76, rd_minus:     92, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 7 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1984, rd_minus:   2044, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 8 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1620, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 9 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1496, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 10 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1066, rd_minus:    992, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 11 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2384, rd_minus:   2748, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 12 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1778, rd_minus:   1532, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 13 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2616, rd_minus:   2482, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 14 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    728, rd_minus:    656, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 15 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1848, rd_minus:   1664, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 16 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1322, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 17 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   5468, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 18 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4272, rd_minus:   3680, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 19 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1824, rd_minus:   2060, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 20 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  27396, rd_minus:  28860, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 21 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2298, rd_minus:   2608, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 22 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  11326, rd_minus:  11648, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 23 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   8196, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 24 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   9920, rd_minus:   9920, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 25 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    924, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 26 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2364, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 27 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5016, rd_minus:   4430, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 28 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5274, rd_minus:   6396, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 29 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   9600, rd_minus:   9376, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 30 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  15502, rd_minus:  12868, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 31 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  14842, rd_minus:  21258, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 32 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  16848, rd_minus:  17880, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 33 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2006, rd_minus:   2026, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 34 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4232, rd_minus:   4508, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 35 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2022, rd_minus:   2156, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 36 / 4120, payload_bits 4096, end_bits 24
