Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:  10442, rd_minus:   6220, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  18032, rd_minus:  18190, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 2 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  11254, rd_minus:  10386, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 3 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3972, rd_minus:   5358, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    378, rd_minus:    308, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 5 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    298, rd_minus:    488, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 6 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  19290, rd_minus:  19290, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 7 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1520, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 8 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    574, rd_minus:    736, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 9 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1726, rd_minus:   1944, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 10 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    268, rd_minus:    256, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 11 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1954, rd_minus:   1922, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 12 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5472, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 13 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3920, rd_minus:   3610, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 14 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1484, rd_minus:   1568, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 15 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4600, rd_minus:   5588, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 16 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2592, rd_minus:   1872, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 17 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2400, rd_minus:   2258, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 18 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   8318, rd_minus:   9540, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 19 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4448, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 20 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4350, rd_minus:   4900, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 21 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3612, rd_minus:   4364, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 22 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2998, rd_minus:   4970, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 23 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   8602, rd_minus:   9400, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 24 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4642, rd_minus:   5076, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 25 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  18588, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 26 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    754, rd_minus:    706, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 27 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2538, rd_minus:   2724, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 28 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  15432, rd_minus:  16652, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 29 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2462, rd_minus:   2642, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 30 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3068, rd_minus:   4094, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 31 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   5588, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 32 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2588, rd_minus:   3194, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 33 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3234, rd_minus:   3012, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 34 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  11206, rd_minus:  11086, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 35 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5868, rd_minus:   5690, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 36 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  14316, rd_minus:  16854, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 37 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2668, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 38 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  15586, rd_minus:  16986, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 39 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    174, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 40 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  19300, rd_minus:  20124, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 41 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  18170, rd_minus:  18156, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 42 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    632, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 43 / 2072, payload_bits 2048, end_bits 24
