Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:   1292, rd_minus:   1362, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 1 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1384, rd_minus:   1370, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 2 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   6860, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 3 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  12176, rd_minus:  11988, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   5948, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 5 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  13544, rd_minus:  13390, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 6 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  12626, rd_minus:  12800, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 7 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:  16918, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 8 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   5494, rd_minus:   6092, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 9 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3992, rd_minus:   3972, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 10 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   4264, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 11 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  12416, rd_minus:  12094, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 12 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   6768, rd_minus:   6736, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 13 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4000, rd_minus:   3998, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 14 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1564, rd_minus:   1656, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 15 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1272, rd_minus:   1020, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 16 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   6276, rd_minus:   5456, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 17 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   5280, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 18 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    108, rd_minus:     96, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 19 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4102, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 20 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  11466, rd_minus:  17026, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 21 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   7756, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 22 / 8216, payload_bits 8192, end_bits 24
